model_name	split	mac_precision	mac_recall	mac_f1	support	model_type	ds_size	seq_len	fold	best_val_score	epoch_stop	total_time
2CNN_fold3_300bp_10000seqs	test	0.3448517085378755	0.3553805208667438	0.3420805716555171	2000	2CNN	10000	300	3	0.8607393684387207	309	238.01989912986755
2CNN_pool_fold0_150bp_2000seqs	train	0.8864734299516909	0.995088189327975	0.9354768038978566	1600	2CNN_pool	2000	150	0	0.4298797044157982	1857	237.94234108924863
2CNN_pool_fold0_150bp_2000seqs	test	0.3656538576109622	0.3357393276964322	0.3451860213536522	400	2CNN_pool	2000	150	0	0.4298797044157982	1857	237.94234108924863
2CNN_pool_fold1_300bp_6000seqs	train	0.9627111356796266	0.9970480293601404	0.9793072149568078	4800	2CNN_pool	6000	300	1	0.5237080486615499	2305	438.041069984436
2CNN_pool_fold1_300bp_6000seqs	test	0.5245876237649547	0.4660024186339975	0.4882201755813952	1200	2CNN_pool	6000	300	1	0.5237080486615499	2305	438.041069984436
CNN_simple_fold1_300bp_6000seqs	train	0.6000768010447018	0.8891795655766687	0.6714090545703906	4800	CNN_simple	6000	300	1	0.838953279654185	74	69.3477234840393
CNN_simple_fold1_300bp_6000seqs	test	0.3452181817362593	0.3541458541458541	0.3376084271219948	1200	CNN_simple	6000	300	1	0.838953279654185	74	69.3477234840393
CNN_simple_fold1_150bp_6000seqs	train	0.7353023953968353	0.9850203930292918	0.8270782892115567	4800	CNN_simple	6000	150	1	0.5196294029553731	273	81.88482069969177
CNN_simple_fold1_150bp_6000seqs	test	0.3375760645128554	0.3436122270641844	0.3375304992738407	1200	CNN_simple	6000	150	1	0.5196294029553731	273	81.88482069969177
CNN_simple_fold4_150bp_10000seqs	train	0.7690571681054993	0.9873367102106104	0.8516131684330955	8000	CNN_simple	10000	150	4	0.6140869746208191	445	175.99110531806946
CNN_simple_fold4_150bp_10000seqs	test	0.3510923990136938	0.3744255732830102	0.3513728623832651	2000	CNN_simple	10000	150	4	0.6140869746208191	445	175.99110531806946
