,model_name,split,mac_precision,mac_recall,mac_f1,support,model_type,ds_size,seq_len,fold,best_val_score,epoch_stop,total_time
1,2CNN_pool_fold3_120bp_2000seqs,test,0.4378279267574034,0.4307008633824276,0.4339759818240831,400,2CNN_pool,2000,120,3,0.5224784329533577,1527,98.66035413742064
0,2CNN_pool_fold2_60bp_6000seqs,train,0.972632911657302,0.9983781278962002,0.9851406028143492,4800,2CNN_pool,6000,60,2,0.0712473783642053,3102,467.5665991306305
1,2CNN_pool_fold2_60bp_6000seqs,test,0.9087075963364624,0.9612881116732588,0.933382955693063,1200,2CNN_pool,6000,60,2,0.0712473783642053,3102,467.5665991306305
0,2CNN_pool_fold2_120bp_2000seqs,train,0.8942235313369334,0.9925407925407924,0.9387742384968089,1600,2CNN_pool,2000,120,2,0.4492328524589538,1740,109.22339296340942
1,2CNN_pool_fold2_120bp_2000seqs,test,0.560365394274234,0.5346453360419842,0.5458754208754208,400,2CNN_pool,2000,120,2,0.4492328524589538,1740,109.22339296340942
0,2CNN_pool_fold1_70bp_6000seqs,train,1.0,1.0,1.0,4800,2CNN_pool,6000,70,1,0.0123246021444598,3931,588.6523425579071
1,2CNN_pool_fold1_70bp_6000seqs,test,0.9938277315243088,0.9885802469135802,0.9911805752688242,1200,2CNN_pool,6000,70,1,0.0123246021444598,3931,588.6523425579071
0,2CNN_pool_fold1_40bp_6000seqs,train,0.9617462947620362,0.9975924200062132,0.9790989132463236,4800,2CNN_pool,6000,40,1,0.0536016704638799,2823,479.4290339946747
1,2CNN_pool_fold1_40bp_6000seqs,test,0.9079670277488114,0.9882313347830588,0.9448069810732236,1200,2CNN_pool,6000,40,1,0.0536016704638799,2823,479.4290339946747
0,2CNN_pool_fold2_50bp_10000seqs,train,0.9712017247228516,0.998282743896779,0.9843354557292436,8000,2CNN_pool,10000,50,2,0.0293564031422138,2341,615.334967136383
1,2CNN_pool_fold2_50bp_10000seqs,test,0.9690854036516902,0.9919794844585932,0.9799306651991126,2000,2CNN_pool,10000,50,2,0.0293564031422138,2341,615.334967136383
0,2CNN_pool_fold0_140bp_6000seqs,train,0.9880165989159893,0.99930345948456,0.9936043800852574,4800,2CNN_pool,6000,140,0,0.0729068100452423,3098,498.42978835105896
1,2CNN_pool_fold0_140bp_6000seqs,test,0.9221602465504904,0.9675347452506228,0.9428811585580696,1200,2CNN_pool,6000,140,0,0.0729068100452423,3098,498.42978835105896
0,2CNN_pool_fold1_50bp_10000seqs,train,0.9554281727685452,0.9972616727002692,0.9755391565865356,8000,2CNN_pool,10000,50,1,0.0418893732875585,2935,749.8419463634491
1,2CNN_pool_fold1_50bp_10000seqs,test,0.9250642013353878,0.9919971702701508,0.956417254762276,2000,2CNN_pool,10000,50,1,0.0418893732875585,2935,749.8419463634491
0,2CNN_pool_fold3_30bp_6000seqs,train,0.9430306535569694,0.9962643007237916,0.968351736563126,4800,2CNN_pool,6000,30,3,0.0437395426630973,2468,426.1619153022766
